TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SHB1,SHB2,SHB3,SHB4,TSHB
T6,2,AWD,A,N2,4,86.0,10,0,0,0,0,0,0.00
T6,2,AWD,A,N2,5,87.2,8,0,0,0,0,0,0.00
T6,2,AWD,A,N2,6,96.5,22,3,1,0,0,0,0.25
T6,2,AWD,A,N2,7,100.0,23,4,5,0,0,0,1.25
T6,2,AWD,A,N2,8,99.6,30,7,5,5,0,0,2.50
T6,2,AWD,A,N2,9,95.0,21,4,1,0,0,0,0.25
T6,2,AWD,B,N2,1,101.5,22,5,5,5,0,0,2.50
T6,2,AWD,B,N2,2,101.0,22,3,1,0,0,0,0.25
T6,2,AWD,B,N2,3,95.3,22,3,1,0,0,0,0.25
T6,2,AWD,B,N2,4,105.7,22,9,15,5,0,0,5.00
T6,2,AWD,B,N2,5,102.5,19,7,5,5,0,0,2.50
T6,2,AWD,B,N2,6,102.7,18,2,1,0,0,0,0.25
T6,2,AWD,B,N2,7,101.0,14,5,5,5,0,0,2.50
T6,2,AWD,B,N2,8,99.0,16,5,5,5,0,0,2.50
T6,2,AWD,B,N2,9,102.6,28,7,5,5,0,0,2.50
T6,3,AWD,A,N2,1,91.0,16,6,1,1,1,1,1.00
T6,3,AWD,A,N2,2,85.0,17,1,1,0,0,0,0.25
T6,3,AWD,A,N2,3,91.0,14,4,5,1,1,1,2.00
T6,3,AWD,A,N2,4,96.0,15,7,1,5,5,5,4.00
T6,3,AWD,A,N2,5,104.0,28,0,0,0,0,0,0.00
T6,3,AWD,A,N2,6,95.0,13,0,0,0,0,0,0.00
T6,3,AWD,A,N2,7,93.0,17,8,5,15,5,15,10.00
T6,3,AWD,A,N2,8,94.0,10,0,0,0,0,0,0.00
T6,3,AWD,A,N2,9,86.0,10,0,0,0,0,0,0.00
T6,3,AWD,B,N2,1,91.0,21,0,0,0,0,0,0.00
T6,3,AWD,B,N2,2,87.0,20,5,1,5,5,1,3.00
T6,3,AWD,B,N2,3,89.6,20,4,1,1,1,5,2.00
T6,3,AWD,B,N2,4,93.0,19,0,0,0,0,0,0.00
T6,3,AWD,B,N2,5,103.0,26,0,0,0,0,0,0.00
T6,3,AWD,B,N2,6,102.0,13,0,0,0,0,0,0.00
T6,3,AWD,B,N2,7,94.0,10,0,0,0,0,0,0.00
T6,3,AWD,B,N2,8,101.0,17,5,1,5,5,1,3.00
T6,3,AWD,B,N2,9,98.0,16,0,0,0,0,0,0.00
T6,4,AWD,A,N2,1,95.0,15,0,0,0,0,0,0.00
T6,4,AWD,A,N2,2,93.0,22,0,0,0,0,0,0.00
T6,4,AWD,A,N2,3,96.0,26,1,0,0,0,1,0.25
T6,4,AWD,A,N2,4,83.0,12,0,0,0,0,0,0.00
T6,4,AWD,A,N2,5,90.5,18,2,0,0,0,5,1.25
T6,4,AWD,A,N2,6,99.5,34,4,0,0,0,50,12.50
T6,4,AWD,A,N2,7,99.5,30,2,0,0,15,0,3.75
T6,4,AWD,A,N2,8,100.0,24,1,0,0,0,5,1.25
T6,4,AWD,A,N2,9,95.0,26,0,0,0,0,0,0.00
T6,4,AWD,B,N2,1,96.5,14,0,0,0,0,0,0.00
T6,4,AWD,B,N2,2,100.0,20,1,0,0,0,50,12.50
T6,4,AWD,B,N2,3,96.0,20,0,0,0,0,1,0.25
T6,4,AWD,B,N2,4,99.0,19,0,0,0,0,0,0.00
T6,4,AWD,B,N2,5,99.5,24,1,0,0,1,0,0.25
T6,4,AWD,B,N2,6,100.0,27,0,0,0,0,0,0.00
T6,4,AWD,B,N2,7,99.5,27,1,0,0,5,0,1.25
T6,4,AWD,B,N2,8,99.3,18,0,0,0,0,0,0.00
T6,4,AWD,B,N2,9,96.5,19,1,0,0,5,0,1.25
