TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SHB1,SHB2,SHB3,SHB4,TSHB
T2,1,FLD,B,N1,9,96.3,32,2,0,0,0,50,12.50
T2,2,FLD,A,N1,1,86.0,11,0,0,0,0,0,0.00
T2,2,FLD,A,N1,2,90.4,21,0,0,0,0,0,0.00
T2,2,FLD,A,N1,3,89.5,26,2,0,0,0,0,0.00
T2,2,FLD,A,N1,4,101.0,13,0,0,0,0,0,0.00
T2,2,FLD,A,N1,5,103.5,24,5,1,1,0,0,0.50
T2,2,FLD,A,N1,6,91.5,10,0,0,0,0,0,0.00
T2,2,FLD,A,N1,7,103.0,22,5,5,5,0,0,2.50
T2,2,FLD,A,N1,8,108.2,20,3,0,0,0,0,0.00
T2,2,FLD,A,N1,9,101.5,17,0,0,0,0,0,0.00
T2,2,FLD,B,N1,1,102.3,15,5,15,15,0,0,7.50
T2,2,FLD,B,N1,2,99.5,21,0,0,0,0,0,0.00
T2,2,FLD,B,N1,3,97.6,23,3,15,0,0,0,3.75
T2,2,FLD,B,N1,4,93.0,14,0,0,0,0,0,0.00
T2,2,FLD,B,N1,5,91.5,21,4,5,0,0,0,1.25
T2,2,FLD,B,N1,6,101.5,12,2,15,0,0,0,3.75
T2,2,FLD,B,N1,7,91.5,18,2,0,0,0,0,0.00
T2,2,FLD,B,N1,8,98.5,26,7,5,15,0,0,5.00
T2,2,FLD,B,N1,9,97.6,21,3,5,0,0,0,1.25
T2,3,FLD,A,N1,1,85.0,17,0,0,0,0,0,0.00
T2,3,FLD,A,N1,2,91.0,30,0,0,0,0,0,0.00
T2,3,FLD,A,N1,3,87.5,13,0,0,0,0,0,0.00
T2,3,FLD,A,N1,4,78.0,15,0,0,0,0,0,0.00
T2,3,FLD,A,N1,5,82.0,9,0,0,0,0,0,0.00
T2,3,FLD,A,N1,6,92.0,28,0,0,0,0,0,0.00
T2,3,FLD,A,N1,7,90.0,17,0,0,0,0,0,0.00
T2,3,FLD,A,N1,8,90.0,23,0,0,0,0,0,0.00
T2,3,FLD,A,N1,9,89.0,16,0,0,0,0,0,0.00
T2,3,FLD,B,N1,1,95.0,15,0,0,0,0,0,0.00
T2,3,FLD,B,N1,2,94.0,26,0,0,0,0,0,0.00
T2,3,FLD,B,N1,3,95.0,16,0,0,0,0,0,0.00
T2,3,FLD,B,N1,4,85.0,14,0,0,0,0,0,0.00
T2,3,FLD,B,N1,5,92.0,19,0,0,0,0,0,0.00
T2,3,FLD,B,N1,6,95.0,17,0,0,0,0,0,0.00
T2,3,FLD,B,N1,7,98.0,13,0,0,0,0,0,0.00
T2,3,FLD,B,N1,8,99.0,23,0,0,0,0,0,0.00
T2,3,FLD,B,N1,9,98.0,17,0,0,0,0,0,0.00
T2,4,FLD,A,N1,1,82.3,20,0,0,0,0,0,0.00
T2,4,FLD,A,N1,2,81.5,14,0,0,0,0,0,0.00
T2,4,FLD,A,N1,3,92.0,24,3,1,0,0,0,0.25
T2,4,FLD,A,N1,4,85.0,18,0,0,0,0,0,0.00
T2,4,FLD,A,N1,5,92.3,18,0,0,0,0,0,0.00
T2,4,FLD,A,N1,6,85.2,9,0,0,0,0,0,0.00
T2,4,FLD,A,N1,7,87.0,14,0,0,0,0,0,0.00
T2,4,FLD,A,N1,8,83.5,10,0,0,0,0,0,0.00
T2,4,FLD,A,N1,9,85.3,20,0,0,0,0,0,0.00
T2,4,FLD,B,N1,1,93.5,14,2,1,0,0,0,0.25
T2,4,FLD,B,N1,2,101.0,18,0,0,0,0,0,0.00
T2,4,FLD,B,N1,3,94.5,19,2,0,0,0,0,0.00
T2,4,FLD,B,N1,4,87.5,14,0,0,0,0,0,0.00
T2,4,FLD,B,N1,5,100.0,19,2,1,0,0,0,0.25
T2,4,FLD,B,N1,6,96.0,24,2,1,0,0,0,0.25
T2,4,FLD,B,N1,7,93.0,14,3,1,0,0,0,0.25
T2,4,FLD,B,N1,8,96.0,20,7,5,5,0,0,2.50
T2,4,FLD,B,N1,9,86.0,19,3,1,0,0,0,0.25
T3,1,FLD,A,N2,1,98.5,15,1,0,0,5,0,1.25
T3,1,FLD,A,N2,2,88.2,22,1,0,0,0,15,3.75
T3,1,FLD,A,N2,3,92.5,29,0,0,0,0,0,0.00
T3,1,FLD,A,N2,4,97.0,17,2,0,0,0,15,3.75
T3,1,FLD,A,N2,5,93.5,26,3,0,0,15,0,3.75
T3,1,FLD,A,N2,6,92.3,15,4,0,5,15,0,5.00
T3,1,FLD,A,N2,7,99.5,22,2,0,0,0,50,12.50
T3,1,FLD,A,N2,8,96.0,22,2,0,0,15,0,3.75
T3,1,FLD,A,N2,9,95.3,26,2,0,0,5,0,1.25
T3,1,FLD,B,N2,1,86.5,18,1,0,0,5,0,1.25
T3,1,FLD,B,N2,2,86.0,15,1,0,0,5,0,1.25
T3,1,FLD,B,N2,3,90.3,16,1,0,0,0,5,1.25
T3,1,FLD,B,N2,4,84.2,12,0,0,0,0,0,0.00
T3,1,FLD,B,N2,5,93.5,15,2,0,0,0,5,1.25
T3,1,FLD,B,N2,6,84.5,14,0,0,0,0,0,0.00
T3,1,FLD,B,N2,7,89.0,16,1,0,0,0,5,1.25
T3,1,FLD,B,N2,8,90.5,13,1,0,0,0,1,0.25
T3,1,FLD,B,N2,9,89.2,17,2,0,0,0,50,12.50
T3,2,FLD,A,N2,1,96.4,23,2,1,0,0,0,0.25
T3,2,FLD,A,N2,2,101.5,25,0,0,0,0,0,0.00
T3,2,FLD,A,N2,3,89.0,19,3,1,0,0,0,0.25
T3,2,FLD,A,N2,4,98.5,23,0,0,0,0,0,0.00
T3,2,FLD,A,N2,5,92.0,21,0,0,0,0,0,0.00
T3,2,FLD,A,N2,6,82.5,15,0,0,0,0,0,0.00
T3,2,FLD,A,N2,7,101.5,19,1,0,0,0,0,0.00
T3,2,FLD,A,N2,8,95.6,25,2,1,0,0,0,0.25
T3,2,FLD,A,N2,9,96.0,18,0,0,0,0,0,0.00
T3,2,FLD,B,N2,1,95.5,16,0,0,0,0,0,0.00
T3,2,FLD,B,N2,2,94.7,27,2,1,0,0,0,0.25
T3,2,FLD,B,N2,3,97.0,22,6,15,15,0,0,7.50
T3,2,FLD,B,N2,4,105.0,27,3,0,0,0,0,0.00
T3,2,FLD,B,N2,5,103.5,30,8,15,5,0,0,5.00
T3,2,FLD,B,N2,6,101.0,16,0,0,0,0,0,0.00
T3,2,FLD,B,N2,7,102.3,25,3,5,0,0,0,1.25
T3,2,FLD,B,N2,8,93.5,19,2,0,0,0,0,0.00
T3,2,FLD,B,N2,9,101.6,16,1,1,0,0,0,0.25
T3,3,FLD,A,N2,1,99.0,35,17,5,1,5,5,4.00
T3,3,FLD,A,N2,2,100.0,21,3,1,5,1,0,1.75
T3,3,FLD,A,N2,3,103.0,28,1,1,0,0,0,0.25
T3,3,FLD,A,N2,4,91.6,19,4,1,5,1,5,3.00
T3,3,FLD,A,N2,5,94.0,20,3,1,1,5,0,1.75
T3,3,FLD,A,N2,6,86.0,11,1,1,0,0,0,0.25
T3,3,FLD,A,N2,7,99.5,19,1,1,0,0,0,0.25
T3,3,FLD,A,N2,8,91.5,16,3,0,5,1,0,1.50
T3,3,FLD,A,N2,9,97.0,19,5,5,5,5,1,4.00
T3,3,FLD,B,N2,1,97.0,24,1,0,0,0,0,0.00
T3,3,FLD,B,N2,2,94.0,13,0,0,0,0,0,0.00
T3,3,FLD,B,N2,3,97.0,23,4,15,5,5,0,6.25
T3,3,FLD,B,N2,4,93.5,21,0,0,0,0,0,0.00
T3,3,FLD,B,N2,5,91.0,27,5,0,0,5,1,1.50
T3,3,FLD,B,N2,6,93.0,13,3,1,1,1,0,0.75
T3,3,FLD,B,N2,7,95.5,20,6,1,5,5,1,3.00
T3,3,FLD,B,N2,8,97.0,21,6,1,5,1,1,2.00
T3,3,FLD,B,N2,9,97.0,16,2,5,0,0,0,1.25
T3,4,FLD,A,N2,1,98.20,15,0,0,0,0,0,0.00
T3,4,FLD,A,N2,2,101.5,29,4,5,0,0,0,1.25
T3,4,FLD,A,N2,3,96.4,21,2,1,0,0,0,0.25
T3,4,FLD,A,N2,4,99.8,28,3,1,0,0,0,0.25
T3,4,FLD,A,N2,5,100.0,15,0,0,0,0,0,0.00
T3,4,FLD,A,N2,6,103.5,25,8,5,15,0,0,5.00
T3,4,FLD,A,N2,7,103.0,25,12,15,15,0,0,7.50
T3,4,FLD,A,N2,8,106.5,28,9,5,15,0,0,5.00
T3,4,FLD,A,N2,9,104.0,22,5,5,1,0,0,1.50
T3,4,FLD,B,N2,1,102.5,34,9,5,5,0,0,2.50
T3,4,FLD,B,N2,2,98.5,20,8,5,1,0,0,1.50
T3,4,FLD,B,N2,3,95.0,19,4,5,0,0,0,1.25
T3,4,FLD,B,N2,4,98.4,17,0,0,0,0,0,0.00
T3,4,FLD,B,N2,5,98.0,20,2,5,0,0,0,1.25
T3,4,FLD,B,N2,6,97.2,21,3,0,0,0,0,0.00
T3,4,FLD,B,N2,7,101.0,23,11,15,15,0,0,7.50
T3,4,FLD,B,N2,8,99.3,12,3,1,0,0,0,0.25
T3,4,FLD,B,N2,9,92.0,18,2,1,0,0,0,0.25
T4,1,AWD,A,N0,1,77.0,16,2,0,0,5,0,1.25
T4,1,AWD,A,N0,2,79.5,12,0,0,0,0,0,0.00
T4,1,AWD,A,N0,3,76.0,17,2,0,0,0,5,1.25
T4,1,AWD,A,N0,4,86.0,13,1,0,0,0,5,1.25
T4,1,AWD,A,N0,5,74.0,15,0,0,0,0,0,0.00
T4,1,AWD,A,N0,6,70.5,17,1,0,0,5,0,1.25
T4,1,AWD,A,N0,7,73.0,23,2,0,0,15,0,3.75
T4,1,AWD,A,N0,8,77.0,18,1,0,0,0,5,1.25
T4,1,AWD,A,N0,9,74.5,15,0,0,0,0,0,0.00
T4,1,AWD,B,N0,1,75.0,13,1,0,0,0,5,1.25
T4,1,AWD,B,N0,2,75.0,21,3,0,0,0,5,1.25
T4,1,AWD,B,N0,3,79.5,22,2,0,0,5,0,1.25
T4,1,AWD,B,N0,4,79.0,19,2,0,0,0,15,3.75
T4,1,AWD,B,N0,5,80.0,29,2,0,0,0,5,1.25
T4,1,AWD,B,N0,6,75.5,21,2,0,0,15,0,3.75
T4,1,AWD,B,N0,7,74.5,12,2,0,0,0,15,3.75
T4,1,AWD,B,N0,8,76.0,10,1,0,0,5,0,1.25
T4,1,AWD,B,N0,9,75.0,14,2,0,0,5,0,1.25
T4,2,AWD,A,N0,1,88.5,13,0,0,0,0,0,0.00
T4,2,AWD,A,N0,2,90.6,15,0,0,0,0,0,0.00
T4,2,AWD,A,N0,3,89.0,17,2,1,0,0,0,0.25
T4,2,AWD,A,N0,4,89.5,18,2,1,0,0,0,0.25
T4,2,AWD,A,N0,5,87.0,14,2,1,0,0,0,0.25
T4,2,AWD,A,N0,6,95.0,14,0,0,0,0,0,0.00
T4,2,AWD,A,N0,7,85.0,7,0,0,0,0,0,0.00
T4,2,AWD,A,N0,8,87.0,9,1,5,0,0,0,1.25
T4,2,AWD,A,N0,9,88.6,22,3,1,0,0,0,0.25
T4,2,AWD,B,N0,1,84.0,16,0,0,0,0,0,0.00
T4,2,AWD,B,N0,2,76.0,7,0,0,0,0,0,0.00
T4,2,AWD,B,N0,3,77.6,14,0,0,0,0,0,0.00
T4,2,AWD,B,N0,4,82.2,14,0,0,0,0,0,0.00
T4,2,AWD,B,N0,5,83.5,18,0,0,0,0,0,0.00
T4,2,AWD,B,N0,6,86.0,12,0,0,0,0,0,0.00
T4,2,AWD,B,N0,7,64.0,8,0,0,0,0,0,0.00
T4,2,AWD,B,N0,8,81.0,11,0,0,0,0,0,0.00
T4,2,AWD,B,N0,9,76.5,14,0,0,0,0,0,0.00
T4,3,AWD,A,N0,1,69.0,11,0,0,0,0,0,0.00
T4,3,AWD,A,N0,2,64.5,11,0,0,0,0,0,0.00
T4,3,AWD,A,N0,3,75.7,10,0,0,0,0,0,0.00
T4,3,AWD,A,N0,4,77.0,13,0,0,0,0,0,0.00
T4,3,AWD,A,N0,5,69.0,12,0,0,0,0,0,0.00
T4,3,AWD,A,N0,6,76.0,13,2,5,1,0,0,1.50
T4,3,AWD,A,N0,7,76.0,19,1,1,0,0,0,0.25
T4,3,AWD,A,N0,8,74.0,17,1,5,0,0,0,1.25
T4,3,AWD,A,N0,9,68.0,12,4,5,5,1,1,3.00
T4,3,AWD,B,N0,1,78.6,11,0,0,0,0,0,0.00
T4,3,AWD,B,N0,2,81.0,16,0,0,0,0,0,0.00
T4,3,AWD,B,N0,3,86.0,18,0,0,0,0,0,0.00
T4,3,AWD,B,N0,4,74.0,9,0,0,0,0,0,0.00
T4,3,AWD,B,N0,5,75.6,14,0,0,0,0,0,0.00
T4,3,AWD,B,N0,6,82.0,16,0,0,0,0,0,0.00
T4,3,AWD,B,N0,7,82.6,14,0,0,0,0,0,0.00
T4,3,AWD,B,N0,8,85.0,13,0,0,0,0,0,0.00
T4,3,AWD,B,N0,9,70.0,4,0,0,0,0,0,0.00
T4,4,AWD,A,N0,1,78.5,21,0,0,0,0,0,0.00
T4,4,AWD,A,N0,2,78.0,14,0,0,0,0,0,0.00
T4,4,AWD,A,N0,3,79.5,20,0,0,0,0,0,0.00
T4,4,AWD,A,N0,4,73.5,11,0,0,0,0,0,0.00
T4,4,AWD,A,N0,5,83.0,19,0,0,0,0,0,0.00
T4,4,AWD,A,N0,6,80.0,15,0,0,0,0,0,0.00
T4,4,AWD,A,N0,7,77.0,20,0,0,0,0,0,0.00
T4,4,AWD,A,N0,8,79.5,18,0,0,0,0,0,0.00
T4,4,AWD,A,N0,9,77.3,17,0,0,0,0,0,0.00
T4,4,AWD,B,N0,1,80.5,15,0,0,0,0,0,0.00
T4,4,AWD,B,N0,2,76.0,16,0,0,0,0,0,0.00
T4,4,AWD,B,N0,3,79.0,14,0,0,0,0,0,0.00
T4,4,AWD,B,N0,4,77.0,9,0,0,0,0,0,0.00
T4,4,AWD,B,N0,5,82.3,12,0,0,0,0,0,0.00
T4,4,AWD,B,N0,6,80.5,15,0,0,0,0,0,0.00
T4,4,AWD,B,N0,7,82.6,21,2,1,0,0,0,0.25
T4,4,AWD,B,N0,8,83.0,20,2,1,0,0,0,0.25
T4,4,AWD,B,N0,9,82.0,14,0,0,0,0,0,0.00
T5,1,AWD,A,N1,1,94.5,18,3,0,0,0,15,3.75
T5,1,AWD,A,N1,2,93.0,28,0,0,0,0,0,0.00
T5,1,AWD,A,N1,3,89.5,22,0,0,0,0,0,0.00
T5,1,AWD,A,N1,4,90.0,19,0,0,0,0,0,0.00
T5,1,AWD,A,N1,5,86.3,19,1,0,0,1,0,0.25
T5,1,AWD,A,N1,6,89.5,25,0,0,0,0,0,0.00
T5,1,AWD,A,N1,7,85.0,15,0,0,0,0,0,0.00
T5,1,AWD,A,N1,8,85.3,15,0,0,0,0,0,0.00
T5,1,AWD,A,N1,9,90.2,18,1,0,0,0,5,1.25
T5,1,AWD,B,N1,1,85.5,22,0,0,0,0,0,0.00
T5,1,AWD,B,N1,2,85.3,24,0,0,0,0,0,0.00
T5,1,AWD,B,N1,3,88.0,24,1,0,0,5,0,1.25
T5,1,AWD,B,N1,4,94.5,13,0,0,0,0,0,0.00
T5,1,AWD,B,N1,5,94.3,24,1,0,0,15,0,3.75
T5,1,AWD,B,N1,6,95.3,9,0,0,0,0,0,0.00
T5,1,AWD,B,N1,7,86.5,16,2,0,0,0,5,1.25
T5,1,AWD,B,N1,8,84.2,31,2,0,0,5,0,1.25
T5,1,AWD,B,N1,9,85.2,15,0,0,0,0,0,0.00
T5,2,AWD,A,N1,1,98.5,22,9,15,5,0,0,5.00
T5,2,AWD,A,N1,2,97.6,23,7,5,5,0,0,2.50
T5,2,AWD,A,N1,3,95.0,22,6,5,5,0,0,2.50
T5,2,AWD,A,N1,4,103.6,19,3,5,0,0,0,1.25
T5,2,AWD,A,N1,5,98.0,23,5,5,5,0,0,2.50
T5,2,AWD,A,N1,6,97.0,23,8,5,5,0,0,2.50
T5,2,AWD,A,N1,7,101.5,19,5,1,1,0,0,0.50
T5,2,AWD,A,N1,8,97.8,14,0,0,0,0,0,0.00
T5,2,AWD,A,N1,9,102.3,24,7,15,5,0,0,5.00
T5,2,AWD,B,N1,1,95.6,12,0,0,0,0,0,0.00
