TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4,LSHB
T1,3,FLD,A,N0,5,61.0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,A,N0,6,57.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,A,N0,7,63.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,A,N0,8,61.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,A,N0,9,69.5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,1,60.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,2,68.0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,3,67.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,4,62.5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,5,58.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,6,56.0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,3,FLD,B,N0,7,59.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
