TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NSHB,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4,LSHB
T1,1,FLD,A,N0,1,80.0,18,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04
T1,1,FLD,A,N0,2,77.9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,3,76.0,25,3,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63
T1,1,FLD,A,N0,4,78.3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,5,72.5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,6,76.5,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,7,82.7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,8,81.2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,A,N0,9,82.0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,B,N0,1,80.4,17,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42
T1,1,FLD,B,N0,2,79.5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,B,N0,3,83.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,B,N0,4,81.3,16,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08
T1,1,FLD,B,N0,5,74.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00
T1,1,FLD,B,N0,6,82.3,12,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13
