TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,1,PDL,A,N0,1,41.4,24,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,2,44.5,22,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,3,40,15,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,4,38.5,22,3,1,1,5,0,,,,,,,2,,4,0,,,,,,,3,1,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,5,37,12,2,1,1,3,1,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,A,N0,6,39.5,15,6,1,1,4,1,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,4,1,,,,,3,
T1,1,PDL,A,N0,7,37.2,14,1,1,1,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,8,41.5,23,5,1,,3,1,,,4,,,,2,,3,0,,,,,,,3,,3,0,,,1,,,,4,,4,0,,,,,,
T1,1,PDL,A,N0,9,38.6,16,1,1,1,3,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,B,N0,1,41.5,19,5,1,1,5,0,,,,,1,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,PDL,B,N0,2,41.2,22,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,3,0,,,,,,,4,,4,0,,,,,,
T1,1,PDL,B,N0,3,44,35,9,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,3,0,,,,,,,4,,3,0,,,4,4,,
T1,1,PDL,B,N0,4,38,20,0,1,,4,0,,,,1,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
