TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,3,PDL,A,N0,4,53,10,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,1,,,,,,
T1,3,PDL,A,N0,5,61,15,1,1,1,4,2,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,A,N0,6,57,20,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,A,N0,7,63,18,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,A,N0,8,61,11,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,A,N0,9,69.5,16,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,1,60,15,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,2,68,20,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,3,PDL,B,N0,3,67,10,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,3,PDL,B,N0,4,62.5,19,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,5,58,15,0,1,,5,1,,,,,,,2,,5,2,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,6,56,21,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,2,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,7,59,18,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,8,62,11,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,3,PDL,B,N0,9,62,13,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,1,76.8,19,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,4,PDL,A,N0,2,62,5,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,4,PDL,A,N0,3,73.5,20,8,1,1,5,0,,,,,1,,2,1,6,0,,,,1,1,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,4,76,24,2,1,,6,0,,,,1,,,2,,6,0,,,,,,,3,,5,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,5,77.6,20,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,6,73,21,0,1,,6,0,,,,,,,2,,5,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
T1,4,PDL,A,N0,7,72,17,0,1,,5,0,,,,,,,2,,6,0,,,,,,,3,,6,0,,,,,,,4,,6,0,,,,,,
