TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,1,FLD,A,N0,1,48.8,21,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,2,49.5,20,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,3,52.6,32,1,1,,1,0,,,,,,,2,,2,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,2,,
T1,1,FLD,A,N0,4,47,18,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,5,43.4,16,1,1,1,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,6,47.2,20,1,1,,4,0,,,,2,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,1,FLD,A,N0,7,44.3,17,1,1,5,4,0,,,,2,,,2,,4,0,,,,,,,3,,3,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,8,45.5,19,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,A,N0,9,48.2,20,1,1,,4,0,,,,1,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,1,FLD,B,N0,1,51.5,21,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,2,,
T1,1,FLD,B,N0,2,47.2,20,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,3,49,14,1,1,,1,0,,,,,,,2,,3,0,,,,,,,3,,3,0,,1,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,4,45.2,21,0,1,,1,0,,,,,,,2,,2,0,,,,,,,3,,3,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,5,44,18,1,1,,1,0,,,,,,,2,,2,0,,,,,,,3,,3,0,,,,,,,4,,4,0,,,2,,,
T1,1,FLD,B,N0,6,47.5,18,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,2,4,0,,2,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,7,44.2,15,1,1,2,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,8,46.5,20,1,1,,4,0,,,,,,,2,,5,0,,1,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,1,FLD,B,N0,9,47.5,21,1,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,1,,,
T1,2,FLD,A,N0,1,56.2,26,1,1,1,4,0,,,1,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,2,FLD,A,N0,2,52.2,22,1,1,1,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,2,FLD,A,N0,3,53.1,18,2,1,2,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,2,FLD,A,N0,4,52.5,18,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,2,FLD,A,N0,5,52.5,16,1,1,1,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
