DATE,REP,WMGT,NRTE,SMPL,HILL,NTIL,NTShB,NSHShB,TIL,GL,DL,ShBL1,ShBL2,ShBL3,ShBL4,ShBL5,ShBL6
15-Mar-16,1,AWD,N1, A,1,20,17,2,1,5,,0,0,0,0,0,
,1,AWD,N1, A,1,,,1,2,5,,0,0,0,0,0,
,1,AWD,N1, A,1,,,2,3,5,,0,0,0,0,0,
,1,AWD,N1, A,1,,,2,4,5,,0,0,0,0,0,
,1,AWD,N1, A,2,27,13,2,1,6,,0,0,0,0,0,0
,1,AWD,N1, A,2,,,2,2,5,,0,0,0,0,0,
,1,AWD,N1, A,2,,,1,3,5,,0,2,0,0,0,
,1,AWD,N1, A,2,,,2,4,5,,0,0,0,0,0,
,1,AWD,N1, A,3,20,15,1,1,5,1,0,0,0,0,0,
,1,AWD,N1, A,3,,,1,2,5,,0,0,0,0,0,
,1,AWD,N1, A,3,,,1,3,6,,0,0,0,0,0,0
,1,AWD,N1, A,3,,,1,4,5,,0,0,0,1,0,
,1,AWD,N1, A,4,21,14,2,1,5,1,0,0,0,0,0,
,1,AWD,N1, A,4,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, A,4,,,2,3,5,,0,0,0,0,1,
,1,AWD,N1, A,4,,,2,4,5,,0,0,0,0,0,
,1,AWD,N1, A,5,14,10,1,1,5,,0,0,0,0,0,
,1,AWD,N1, A,5,,,1,2,6,,0,0,0,2,0,0
,1,AWD,N1, A,5,,,1,3,5,1,0,0,0,0,0,
,1,AWD,N1, A,5,,,1,4,6,,0,0,0,0,0,0
,1,AWD,N1, A,6,17,15,1,1,6,,0,0,0,0,0,0
,1,AWD,N1, A,6,,,1,2,5,,0,0,0,0,0,
,1,AWD,N1, A,6,,,1,3,5,2,0,0,0,0,0,
,1,AWD,N1, A,6,,,1,4,5,,0,0,0,0,0,
,1,AWD,N1, A,7,27,16,1,1,5,,0,0,0,0,0,
,1,AWD,N1, A,7,,,1,2,6,1,0,0,0,0,0,0
,1,AWD,N1, A,7,,,2,3,5,,0,0,0,0,0,
,1,AWD,N1, A,7,,,1,4,5,,0,0,0,1,0,
,1,AWD,N1, A,8,24,21,1,1,5,,1,0,0,0,0,
,1,AWD,N1, A,8,,,3,2,5,1,2,0,0,1,0,
,1,AWD,N1, A,8,,,1,3,5,,0,0,0,0,0,
,1,AWD,N1, A,8,,,2,4,5,,0,0,0,0,0,
,1,AWD,N1, A,9,21,19,3,1,5,,0,0,0,0,0,
,1,AWD,N1, A,9,,,3,2,5,,0,0,0,0,0,
,1,AWD,N1, A,9,,,1,3,5,2,0,0,0,0,0,
,1,AWD,N1, A,9,,,1,4,5,1,0,0,0,0,0,
15-Mar-16,1,AWD,N1, B,1,22,15,1,1,6,,0,0,0,0,0,0
,1,AWD,N1, B,1,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,1,,,1,3,5,1,0,0,0,0,0,
,1,AWD,N1, B,1,,,2,4,5,1,0,0,0,0,0,
,1,AWD,N1, B,2,22,13,0,1,5,,0,0,0,0,0,
,1,AWD,N1, B,2,,,3,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,2,,,2,3,6,,0,0,0,4,0,0
,1,AWD,N1, B,2,,,0,4,6,,0,0,1,0,0,0
,1,AWD,N1, B,3,24,11,1,1,5,,0,0,0,0,0,
,1,AWD,N1, B,3,,,1,2,5,,0,1,0,0,0,
,1,AWD,N1, B,3,,,0,3,5,,0,0,0,0,0,
,1,AWD,N1, B,3,,,1,4,5,1,0,1,1,0,0,
,1,AWD,N1, B,4,22,18,3,1,5,2,0,0,0,0,0,
,1,AWD,N1, B,4,,,2,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,4,,,1,3,6,,0,0,0,0,0,0
,1,AWD,N1, B,4,,,0,4,5,,0,0,0,0,0,
,1,AWD,N1, B,5,15,9,1,1,5,,0,0,0,0,0,
,1,AWD,N1, B,5,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,5,,,1,3,5,1,0,0,0,0,0,
,1,AWD,N1, B,5,,,1,4,5,1,0,0,0,0,0,
,1,AWD,N1, B,6,19,13,1,1,5,,0,0,0,0,0,
,1,AWD,N1, B,6,,,1,2,5,,0,1,0,0,0,
,1,AWD,N1, B,6,,,1,3,5,1,0,0,0,0,0,
,1,AWD,N1, B,6,,,1,4,5,1,0,0,0,0,0,
,1,AWD,N1, B,7,29,17,1,1,6,,0,0,0,0,0,0
,1,AWD,N1, B,7,,,1,2,5,1,0,0,0,0,0,
,1,AWD,N1, B,7,,,2,3,5,,0,0,0,0,0,
,1,AWD,N1, B,7,,,1,4,5,,0,0,0,0,0,
,1,AWD,N1, B,8,23,15,1,1,5,1,0,0,0,0,0,
,1,AWD,N1, B,8,,,2,2,5,1,0,0,1,1,0,
,1,AWD,N1, B,8,,,2,3,5,,0,0,0,0,0,
,1,AWD,N1, B,8,,,1,4,5,,0,0,0,0,0,
,1,AWD,N1, B,9,17,16,1,1,6,,0,0,0,0,0,0
,1,AWD,N1, B,9,,,1,2,5,1,0,0,0,0,2,
,1,AWD,N1, B,9,,,1,3,5,2,0,0,0,0,0,
,1,AWD,N1, B,9,,,1,4,5,,0,0,0,0,0,
15-Mar-16,1,AWD,N2,A,1,23,23,1,1,6,,1,0,0,0,0,0
,1,AWD,N2,A,1,,,1,2,6,,0,0,1,0,0,0
,1,AWD,N2,A,1,,,1,3,5,2,1,0,0,0,0,
,1,AWD,N2,A,1,,,1,4,6,,0,0,0,0,0,0
,1,AWD,N2,A,2,21,14,1,1,6,,1,0,0,0,0,0
,1,AWD,N2,A,2,,,1,2,5,,0,1,0,0,0,
,1,AWD,N2,A,2,,,1,3,6,,1,0,0,0,0,0
,1,AWD,N2,A,2,,,1,4,5,1,1,0,0,0,0,
,1,AWD,N2,A,3,22,17,2,1,5,1,1,0,0,0,0,
,1,AWD,N2,A,3,,,1,2,5,1,1,1,0,0,0,
,1,AWD,N2,A,3,,,1,3,5,1,0,0,0,0,0,
,1,AWD,N2,A,3,,,1,4,5,,1,0,0,0,0,
,1,AWD,N2,A,4,22,22,3,1,5,,1,1,0,0,0,
,1,AWD,N2,A,4,,,1,2,5,,0,0,0,0,0,
,1,AWD,N2,A,4,,,2,3,5,1,1,1,0,0,0,
,1,AWD,N2,A,4,,,1,4,5,,0,0,0,0,0,
,1,AWD,N2,A,5,24,21,1,1,5,,1,1,1,1,0,
,1,AWD,N2,A,5,,,1,2,5,,0,0,0,0,0,
,1,AWD,N2,A,5,,,2,3,6,2,1,1,0,0,0,0
,1,AWD,N2,A,5,,,1,4,5,,1,0,1,0,0,
