TRT,REP,WMGT,SMPL,NRTE,HILL,HGHT,NTIL,NTShB,TIL1,SHB1,GL1,DL1,SLA1,SLB1,SLC1,SLD1,SLE1,SLF1,TIL2,SHB2,GL2,DL2,SLA2,SLB2,SLC2,SLD2,SLE2,SLF2,TIL3,SHB3,GL3,DL3,SLA3,SLB3,SLC3,SLD3,SLE3,SLF3,TIL4,SHB4,GL4,DL4,SLA4,SLB4,SLC4,SLD4,SLE4,SLF4
T1,3,PDL,A,N0,4,76,10,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,A,N0,5,80,16,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,A,N0,6,76,20,1,1,1,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,A,N0,7,80,17,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,A,N0,8,77.5,11,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,A,N0,9,88.5,16,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,1,83,11,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,2,84,18,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,3,79,10,0,1,,4,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,4,80,18,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,5,78,14,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,6,75,18,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,7,77,19,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,4,0,,,,,,
T1,3,PDL,B,N0,8,79,10,0,1,,5,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,,5,0,,,,,,
T1,3,PDL,B,N0,9,80,13,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,5,0,,,,,,
T1,4,PDL,A,N0,1,91.2,17,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,2,84,4,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,3,89,23,8,1,1,4,1,,,1,1,,,2,1,4,1,,,,1,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,4,90.5,22,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,5,86,19,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,6,90.2,20,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,7,90.5,18,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,8,88.4,16,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,A,N0,9,81,12,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,1,77,14,2,1,,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,2,84.3,19,2,1,1,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,3,86.3,13,1,1,2,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,4,86,17,4,1,2,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,5,81.5,12,3,1,2,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,6,91,19,7,1,1,4,1,,,1,1,,,2,1,4,1,,,1,1,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,7,89,16,1,1,,4,1,,,,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,8,83.5,17,0,1,,4,1,,,,,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T1,4,PDL,B,N0,9,84.5,19,3,1,2,4,1,,,1,1,,,2,,4,1,,,,,,,3,,4,1,,,,,,,4,,4,1,,,,,,
T2,1,PDL,A,N1,1,89,13,0,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,2,90.5,24,0,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,,4,0,,,,,,
T2,1,PDL,A,N1,3,93,24,3,1,,5,0,,,,,,,2,,5,0,,,,,,,3,,4,0,,,,,,,4,4,4,0,,,,,3,
T2,1,PDL,A,N1,4,89,20,1,1,,4,0,,,,,,,2,,4,0,,,,,,,3,,5,0,,,,,,,4,2,5,0,,,,,1,
